No.,Compound ID,SMILES,Assay ID,LogP app
63,CHEMBL558106,"C(=O)(c1c(C(F)(F)F)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.3
64,CHEMBL558107,"C(=O)(c1cc([N+](=O)[O-])c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.87
65,CHEMBL558297,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-3.42
66,CHEMBL558298,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-4.3
67,CHEMBL558889,"C(=O)(Nc1ccc(C(=O)CC[NH+](C)C)cc1)CCCCC	
",CHEMBL1034536,-3.25
68,CHEMBL559520,"C(=O)(c1c(C)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.13
69,CHEMBL559521,"C(=O)(c1c(Cl)c(Cl)c(SCCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-4.16
70,CHEMBL559522,"C(=O)(c1c(Cl)c(Cl)c(SCCCCCC)cc1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-3.77
71,CHEMBL559716,"C(=O)(c1cc(Br)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.34
72,CHEMBL559717,"C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[NH+](C)C	
",CHEMBL1034536,-3.48
73,CHEMBL559718,"N1C(=O)C[N@H+](CCC(=O)c2c(Cl)cc(SCCCCCC)c(Cl)c2)CC1	
",CHEMBL1034536,-3.09
74,CHEMBL560108,"N1C(=O)C[N@H+](CCC(=O)c2c(Cl)cc(S(=O)(=O)CCCCCC)c(Cl)c2)CC1	
",CHEMBL1034536,-3.27
75,CHEMBL560114,"C(=O)(c1c([C](C)C)cc(OCCCCCC)c(C)c1)CC[NH+](C)C	
",CHEMBL1034536,-3.07
76,CHEMBL560148,"C(=O)(c1c(OCCCCCC)cc(C)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.96
77,CHEMBL560172,"C(=O)(c1ccc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.98
78,CHEMBL560309,"C(=O)(c1ccc(OCCCCCC)cc1)CCn1cncc1	
",CHEMBL1034536,-2.83
79,CHEMBL560310,"C(=O)(c1ccc(N2CC[NH+](CCC)CC2)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.5
80,CHEMBL560311,"C(=O)(c1c(Cl)c(Cl)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.22
81,CHEMBL560369,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-2.85
82,CHEMBL560510,"C(=O)(c1ccc(S(=O)(=O)CCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.11
83,CHEMBL560512,"C(=O)(c1cc(c2ccccc2)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.08
84,CHEMBL560568,"C(=O)(c1c(Cl)c(Cl)c(SCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.85
85,CHEMBL560569,"C(=O)(c1c(Cl)c(Cl)c(SCCCCCC)cc1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-2.64
86,CHEMBL560675,"N(CCCC)C(=O)Nc1ccc(C(=O)CC[NH+](C)C)cc1	
",CHEMBL1034536,-5
87,CHEMBL560911,"C(=O)(c1ccc(OCCCCCC)cc1)CC[NH+](CCCC)CCCC	
",CHEMBL1034536,-3.25
88,CHEMBL560972,"C(=O)(c1cc(C(F)(F)F)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.03
